"","studyid","timepoint","value.Component 1","value.Component 2","delivery_ind"
"226","56",122,-0.938365504576689,-0.797723504705829,FALSE
"227","56",153,-1.12355068763922,-0.900650162771307,FALSE
"228","56",184,-0.658656752465242,-0.103552021349196,FALSE
"229","57",31,-0.155201646918791,0.32907234084188,FALSE
"230","57",91,-1.10896691951781,-0.609415055320927,FALSE
"231","57",125,-0.94244559411586,-0.703574837194398,FALSE
"232","57",157,-0.872805454128264,-0.0750229456381223,FALSE
"233","57",238,-0.890603988450823,-0.567026671404309,FALSE
"234","57",244,-1.02289184914615,-0.582466266546352,FALSE
"235","7",66,-1.03242580943597,-0.388472444241153,FALSE
"236","7",127,-0.859928582188825,-0.256789159715281,FALSE
"237","7",155,-1.30972223586907,-0.572576094255199,FALSE
"238","7",243,-1.12429190662505,-0.348736997150376,FALSE
"239","7",364,-0.458471313516923,-1.38654879479561,FALSE
"240","7",608,1.90659836666667,1.92947932685584,FALSE
"241","8",72,-0.375132313127625,0.687050655997225,TRUE
"242","8",194,-0.407353400526254,0.661508902732513,TRUE
"243","8",250,-0.543887256947729,0.422490072090048,TRUE
"244","8",308,0.124503911212418,0.70294308252533,TRUE
"245","8",437,1.55891882644064,1.59047509197306,TRUE
"246","8",552,1.86844026044749,2.07163379453148,TRUE
"247","9",1,0.0623913744438875,0.67664620114452,TRUE
"248","9",214,-0.387256731765128,-0.394232727109265,TRUE
"249","9",305,-0.455164297481744,0.569156825448301,TRUE
"250","9",429,0.389154717820423,-0.283098162310765,TRUE
"251","9",555,1.02302892693187,-0.0968770003445811,TRUE
"252","9",681,1.57240302495723,0.521014727974768,TRUE
