"","hostID","time_disc","sample_name","group","genotype","diseased","PC1","PC2","PC3"
"117","sub21",8,"11953.WT15.tp08","healthy wild type","WT","no",0.900169117846341,-33.2609850567287,62.2562262007829
"118","sub22",0,"11953.WT14.tp00","healthy wild type","WT","no",47.7391391562151,0,41.6770990339539
"119","sub22",16,"11953.WT14.tp12","healthy wild type","WT","no",59.6866711952128,8.3132883573632,1.9313785199657
"120","sub22",26,"11953.WT14.tp20","healthy wild type","WT","no",56.5468201216823,4.333536681732,0
"121","sub22",34,"11953.WT14.tp28","healthy wild type","WT","no",52.0486804769055,4.9927143643651,0
"122","sub22",43,"11953.WT14.tp36","healthy wild type","WT","no",55.2343339490365,4.62449556330628,0
"123","sub22",52,"11953.WT14.tp44","healthy wild type","WT","no",51.4627744383934,1.51469737322749,0
"124","sub22",60,"11953.WT14.tp52","healthy wild type","WT","no",49.7573396269001,2.82924900462022,0
"125","sub22",68,"11953.WT14.tp60","healthy wild type","WT","no",50.9001903435037,4.31630266114696,0
"126","sub23",0,"11953.L712.tp0","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",56.1361455125919,0,34.1124964673166
"127","sub23",13,"11953.L712.tp12","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",59.2111968502606,-19.5028012524199,0.326722688961761
"128","sub23",24,"11953.L712.tp20","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",59.4544351382862,-7.6201482345444,0
"129","sub24",0,"11953.L644.tp0","predisposed, remained healthy","Pax5+/-","no",56.1603786953536,0,30.4686792397714
"130","sub24",12,"11953.L644.tp12","predisposed, remained healthy","Pax5+/-","no",61.2817581212064,0,1.997409640085
"131","sub24",21,"11953.L644.tp20","predisposed, remained healthy","Pax5+/-","no",53.6452343767894,-17.3096664190067,0
"132","sub24",29,"11953.L644.tp28","predisposed, remained healthy","Pax5+/-","no",57.1166263672244,-14.3374089579901,7.24784539222557
"133","sub24",38,"11953.L644.tp36","predisposed, remained healthy","Pax5+/-","no",59.0325343815298,-5.12204514808135,0.504445629834388
"134","sub24",47,"11953.L644.tp40","predisposed, remained healthy","Pax5+/-","no",56.3852518009668,-6.39761835566611,4.09633385350549
"135","sub25",0,"11953.L713.tp0","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",51.6205087640107,0,29.6007216256822
"136","sub25",13,"11953.L713.tp12","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",54.4482004958967,-24.0927411287358,0.283509809199027
"137","sub25",24,"11953.L713.tp20","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",54.6718725001662,-9.41353277415424,0
"138","sub26",0,"11953.I338.tp0","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",51.6562968755738,0,37.9521009893071
"139","sub26",13,"11953.I338.tp12","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",54.4859490249294,-15.3702881224086,0.363497655437064
"140","sub27",0,"11953.L977.tp0","predisposed, remained healthy","Pax5+/-","no",57.5761155593605,0,35.0001070971108
"141","sub27",13,"11953.L977.tp12","predisposed, remained healthy","Pax5+/-","no",60.7300462318693,-8.24994329503756,0.335224046579937
"142","sub27",24,"11953.L977.tp20","predisposed, remained healthy","Pax5+/-","no",60.9795239195861,-3.22342365187008,0
"143","sub27",32,"11953.L977.tp28","predisposed, remained healthy","Pax5+/-","no",60.1501941305142,-11.8201478844611,1.2647249445497
"144","sub27",40,"11953.L977.tp36","predisposed, remained healthy","Pax5+/-","no",58.9094962422692,-11.6805319703765,0.294042085830085
"145","sub27",49,"11953.L977.tp40","predisposed, remained healthy","Pax5+/-","no",57.3049776025296,-13.960778131431,0
"146","sub27",58,"11953.L977.tp44","predisposed, remained healthy","Pax5+/-","no",57.0125739440936,-11.7738831085823,0
"147","sub27",67,"11953.L977.tp52","predisposed, remained healthy","Pax5+/-","no",58.8870651552711,-2.54878528080401,0
"148","sub27",75,"11953.L977.tp60","predisposed, remained healthy","Pax5+/-","no",58.2933160214899,-2.46672819732221,0
"149","sub27",83,"11953.L977.tp68","predisposed, remained healthy","Pax5+/-","no",54.6524891267891,-5.3708524803758,0
"150","sub28",0,"11953.WT7.tp00","healthy wild type","WT","no",47.4934470697863,0,37.9454784128353
"151","sub28",16,"11953.WT7.tp12","healthy wild type","WT","no",59.379490482759,8.27433961705233,1.75844969144004
"152","sub28",26,"11953.WT7.tp20","healthy wild type","WT","no",56.2557988242277,4.31323354925436,0
"153","sub28",35,"11953.WT7.tp28","healthy wild type","WT","no",58.2617338096354,5.3967742258737,0.0788551481398953
"154","sub28",43,"11953.WT7.tp36","healthy wild type","WT","no",54.9500674333368,4.60282925401671,0
"155","sub28",51,"11953.WT7.tp44","healthy wild type","WT","no",53.7963999719246,4.5821782310628,0
"156","sub28",60,"11953.WT7.tp52","healthy wild type","WT","no",49.5012607615466,2.81599363802896,0
"157","sub28",68,"11953.WT7.tp60","healthy wild type","WT","no",50.6382297345326,4.29608027209639,0
"158","sub28",78,"11953.WT7.tp68","healthy wild type","WT","no",47.8423379727825,3.61636862211568,0
"159","sub28",8,"11953.WT7.tp08","healthy wild type","WT","no",0.918520795559516,31.4199512269786,47.7309141255854
"160","sub28",87,"11953.WT7.tp76","healthy wild type","WT","no",44.2891621086824,3.29528120979839,0
"161","sub29",0,"11953.L201.tp0","predisposed, remained healthy","Pax5+/-","no",54.4703491237604,0,31.2149490535031
"162","sub29",12,"11953.L201.tp12","predisposed, remained healthy","Pax5+/-","no",59.4376113075627,0,2.04633222410388
"163","sub29",22,"11953.L201.tp20","predisposed, remained healthy","Pax5+/-","no",55.9719254843713,-14.4373162929878,0
"164","sub29",30,"11953.L201.tp28","predisposed, remained healthy","Pax5+/-","no",55.9028878062461,-18.9275972852939,0
"165","sub29",39,"11953.L201.tp36","predisposed, remained healthy","Pax5+/-","no",54.9759722491249,-17.7053789851049,0.794854009771508
"166","sub29",47,"11953.L201.tp40","predisposed, remained healthy","Pax5+/-","no",54.6884551418438,-10.4542822587478,4.19666541949763
"167","sub29",56,"11953.L201.tp44","predisposed, remained healthy","Pax5+/-","no",54.1413454066591,-12.5030050890083,0
"168","sub29",65,"11953.L201.tp52","predisposed, remained healthy","Pax5+/-","no",52.9101539431295,-5.7167551798577,0
"169","sub29",73,"11953.L201.tp60","predisposed, remained healthy","Pax5+/-","no",52.516937634377,-8.95094139785559,0
"170","sub29",83,"11953.L201.tp68","predisposed, remained healthy","Pax5+/-","no",51.7044287253023,-9.88931629389111,0
"171","sub3",0,"11953.L380.tp0","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",54.4781113825318,0,40.1023280784934
"172","sub3",13,"11953.L380.tp12","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",57.4623381717213,-11.2370321490425,0.384092101731268
"173","sub3",21,"11953.L380.tp20","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",52.0383074582534,-20.9238793659797,0
"174","sub3",32,"11953.L380.tp28","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",56.9136862340884,-16.0999145126271,1.44909312747712
"175","sub3",40,"11953.L380.tp36","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",55.7397467091443,-15.909747324929,0.33690674608867
"176","sub3",48,"11953.L380.tp40","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",58.0878350854799,-11.9113568489676,0
"177","sub30",0,"11953.WT16.tp00","healthy wild type","WT","no",46.4800831417924,0,66.8335583661641
"178","sub30",16,"11953.WT16.tp12","healthy wild type","WT","no",58.1125149854979,-4.27537426482992,3.09716611840287
"179","sub30",26,"11953.WT16.tp20","healthy wild type","WT","no",55.055473289103,-2.22865975632415,0
"180","sub30",34,"11953.WT16.tp28","healthy wild type","WT","no",50.6759660678172,-2.56766294966143,0
